area,Date,C_weekly,provenance
Buckinghamshire,2020-08-01, 28,inferred
Buckinghamshire,2020-08-02, 28,inferred
Buckinghamshire,2020-08-03, 28,inferred
Buckinghamshire,2020-08-04, 28,inferred
Buckinghamshire,2020-08-05, 28,inferred
Buckinghamshire,2020-08-06, 28,inferred
Buckinghamshire,2020-08-07, 28,inferred
Buckinghamshire,2020-08-08, 36,inferred
Buckinghamshire,2020-08-09, 36,inferred
Buckinghamshire,2020-08-10, 36,inferred
Buckinghamshire,2020-08-11, 36,inferred
Buckinghamshire,2020-08-12, 36,inferred
Buckinghamshire,2020-08-13, 36,inferred
Buckinghamshire,2020-08-14, 36,inferred
Buckinghamshire,2020-08-15, 47,inferred
Buckinghamshire,2020-08-16, 47,inferred
Buckinghamshire,2020-08-17, 47,inferred
Buckinghamshire,2020-08-18, 47,inferred
Buckinghamshire,2020-08-19, 47,inferred
Buckinghamshire,2020-08-20, 47,inferred
Buckinghamshire,2020-08-21, 47,inferred
Buckinghamshire,2020-08-22, 60,inferred
Buckinghamshire,2020-08-23, 60,inferred
Buckinghamshire,2020-08-24, 60,inferred
Buckinghamshire,2020-08-25, 60,inferred
Buckinghamshire,2020-08-26, 60,inferred
Buckinghamshire,2020-08-27, 60,inferred
Buckinghamshire,2020-08-28, 60,inferred
Buckinghamshire,2020-08-29, 86,inferred
Buckinghamshire,2020-08-30, 86,inferred
Buckinghamshire,2020-08-31, 86,inferred
Buckinghamshire,2020-09-01, 86,inferred
Buckinghamshire,2020-09-02, 86,inferred
Buckinghamshire,2020-09-03, 86,inferred
Buckinghamshire,2020-09-04, 86,inferred
Buckinghamshire,2020-09-05, 62,inferred
Buckinghamshire,2020-09-06, 62,inferred
Buckinghamshire,2020-09-07, 62,inferred
Buckinghamshire,2020-09-08, 62,inferred
Buckinghamshire,2020-09-09, 62,inferred
Buckinghamshire,2020-09-10, 62,inferred
Buckinghamshire,2020-09-11, 62,inferred
Buckinghamshire,2020-09-12, 79,inferred
Buckinghamshire,2020-09-13, 79,inferred
Buckinghamshire,2020-09-14, 79,inferred
Buckinghamshire,2020-09-15, 79,inferred
Buckinghamshire,2020-09-16, 79,inferred
Buckinghamshire,2020-09-17, 79,inferred
Buckinghamshire,2020-09-18, 79,inferred
Buckinghamshire,2020-09-19,102,inferred
Buckinghamshire,2020-09-20,102,inferred
Buckinghamshire,2020-09-21,102,inferred
Buckinghamshire,2020-09-22,102,inferred
Buckinghamshire,2020-09-23,102,inferred
Buckinghamshire,2020-09-24,102,inferred
Buckinghamshire,2020-09-25,102,inferred
Buckinghamshire,2020-09-26,159,inferred
Buckinghamshire,2020-09-27,159,inferred
Buckinghamshire,2020-09-28,159,inferred
Buckinghamshire,2020-09-29,159,inferred
Buckinghamshire,2020-09-30,159,inferred
Buckinghamshire,2020-10-01,159,inferred
Buckinghamshire,2020-10-02,159,inferred
Buckinghamshire,2020-10-03,360,inferred
Buckinghamshire,2020-10-04,360,inferred
Buckinghamshire,2020-10-05,360,inferred
Buckinghamshire,2020-10-06,360,inferred
Buckinghamshire,2020-10-07,360,inferred
Buckinghamshire,2020-10-08,360,inferred
Buckinghamshire,2020-10-09,360,inferred
Buckinghamshire,2020-10-10,391,inferred
Buckinghamshire,2020-10-11,391,inferred
Buckinghamshire,2020-10-12,391,inferred
Buckinghamshire,2020-10-13,391,inferred
Buckinghamshire,2020-10-14,391,inferred
Buckinghamshire,2020-10-15,391,inferred
Buckinghamshire,2020-10-16,391,inferred
Buckinghamshire,2020-10-17,605,inferred
Buckinghamshire,2020-10-18,605,inferred
Buckinghamshire,2020-10-19,605,inferred
Buckinghamshire,2020-10-20,605,inferred
Buckinghamshire,2020-10-21,605,inferred
Buckinghamshire,2020-10-22,605,inferred
Buckinghamshire,2020-10-23,605,inferred
Buckinghamshire,2020-10-24,646,inferred
Buckinghamshire,2020-10-25,646,inferred
Buckinghamshire,2020-10-26,646,inferred
Buckinghamshire,2020-10-27,646,inferred
Buckinghamshire,2020-10-28,646,inferred
Buckinghamshire,2020-10-29,646,inferred
Buckinghamshire,2020-10-30,646,inferred
Buckinghamshire,2020-10-31,759,inferred
Buckinghamshire,2020-11-01,759,inferred
Buckinghamshire,2020-11-02,759,inferred
Buckinghamshire,2020-11-03,759,inferred
Buckinghamshire,2020-11-04,759,inferred
Buckinghamshire,2020-11-05,759,inferred
Buckinghamshire,2020-11-06,759,inferred
Buckinghamshire,2020-11-07,915,inferred
Buckinghamshire,2020-11-08,915,inferred
Buckinghamshire,2020-11-09,915,inferred
Buckinghamshire,2020-11-10,915,inferred
Buckinghamshire,2020-11-11,915,inferred
Buckinghamshire,2020-11-12,915,inferred
Buckinghamshire,2020-11-13,915,inferred
Buckinghamshire,2020-11-14,676,inferred
Buckinghamshire,2020-11-15,676,inferred
Buckinghamshire,2020-11-16,676,inferred
Buckinghamshire,2020-11-17,676,inferred
Buckinghamshire,2020-11-18,676,inferred
Buckinghamshire,2020-11-19,676,inferred
Buckinghamshire,2020-11-20,676,inferred
Buckinghamshire,2020-11-21,583,projected
Buckinghamshire,2020-11-22,583,projected
Buckinghamshire,2020-11-23,583,projected
Buckinghamshire,2020-11-24,583,projected
Buckinghamshire,2020-11-25,583,projected
Buckinghamshire,2020-11-26,583,projected
Buckinghamshire,2020-11-27,583,projected
Buckinghamshire,2020-11-28,647,projected
Buckinghamshire,2020-11-29,647,projected
Buckinghamshire,2020-11-30,647,projected
Buckinghamshire,2020-12-01,647,projected
Buckinghamshire,2020-12-02,647,projected
Buckinghamshire,2020-12-03,647,projected
Buckinghamshire,2020-12-04,647,projected
Buckinghamshire,2020-12-05,623,projected
Buckinghamshire,2020-12-06,623,projected
Buckinghamshire,2020-12-07,623,projected
Buckinghamshire,2020-12-08,623,projected
Buckinghamshire,2020-12-09,623,projected
Buckinghamshire,2020-12-10,623,projected
Buckinghamshire,2020-12-11,623,projected
Cherwell,2020-08-01,  7,inferred
Cherwell,2020-08-02,  7,inferred
Cherwell,2020-08-03,  7,inferred
Cherwell,2020-08-04,  7,inferred
Cherwell,2020-08-05,  7,inferred
Cherwell,2020-08-06,  7,inferred
Cherwell,2020-08-07,  7,inferred
Cherwell,2020-08-08, 10,inferred
Cherwell,2020-08-09, 10,inferred
Cherwell,2020-08-10, 10,inferred
Cherwell,2020-08-11, 10,inferred
Cherwell,2020-08-12, 10,inferred
Cherwell,2020-08-13, 10,inferred
Cherwell,2020-08-14, 10,inferred
Cherwell,2020-08-15, 14,inferred
Cherwell,2020-08-16, 14,inferred
Cherwell,2020-08-17, 14,inferred
Cherwell,2020-08-18, 14,inferred
Cherwell,2020-08-19, 14,inferred
Cherwell,2020-08-20, 14,inferred
Cherwell,2020-08-21, 14,inferred
Cherwell,2020-08-22,  7,inferred
Cherwell,2020-08-23,  7,inferred
Cherwell,2020-08-24,  7,inferred
Cherwell,2020-08-25,  7,inferred
Cherwell,2020-08-26,  7,inferred
Cherwell,2020-08-27,  7,inferred
Cherwell,2020-08-28,  7,inferred
Cherwell,2020-08-29, 11,inferred
Cherwell,2020-08-30, 11,inferred
Cherwell,2020-08-31, 11,inferred
Cherwell,2020-09-01, 11,inferred
Cherwell,2020-09-02, 11,inferred
